Month,Q0,Q1,Q2pt5,Q5,Q10,Q25,Q50,Q75,Q90,Q95,Q97pt5,Q99,Q100,STNAME,CTYNAME,POPESTIMATE2015
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Oregon,Hood River,22955
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana,Gallatin,100334
JUL,-0.02,0,0,0,0,0.07,0.150000006,0.25999999,0.5,0.829999983,1.308249944,2.69730005,71.43000031,Virginia,Lunenburg,12330
JUL,0,0.059999999,0.07,0.090000004,0.100000001,0.129999995,0.189999998,0.300000012,0.670000017,1.279999971,2.616999972,6.207199965,40.91999817,Alabama,Barbour,26264
JUL,0,0,0.02,0.059999999,0.079999998,0.150000006,0.230000004,0.360000014,0.629999995,1.185000002,2.25999999,4.572999954,19.13999939,Tennessee,Macon,23120
JUL,-0.540000021,-0.150000006,-0.100000001,-0.07,-0.029999999,0,0.029999999,0.079999998,0.129999995,0.170000002,0.25,0.469999999,108.6999969,Arizona,Coconino,138682
JUL,-0.119999997,0.029999999,0.059999999,0.100000001,0.150000006,0.25,0.430000007,0.829999983,1.74000001,3.210000038,6.010000229,11.79059998,46.5,Tennessee,Hawkins,56242
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Kossuth,15153
JUL,-0.059999999,-0.02,-0.01,0,0.01,0.02,0.050000001,0.07,0.109999999,0.180000007,0.330000013,0.936300001,35.38999939,Texas,Jim Hogg,5284
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Madison,34975
JUL,0.039999999,0.100000001,0.119999997,0.140000001,0.170000002,0.239999995,0.389999986,0.75,1.480000019,2.253999996,3.356999898,7.480799999,44.36999893,South Carolina,Clarendon,33992
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,Ashtabula,98396
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,California,Trinity,13092
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Michigan,Manistee,24440
JUL,-0.129999995,-0.07,-0.050000001,-0.029999999,0.02,0.159999996,0.349999994,0.649999976,1.360000014,2.700000048,5.400000095,11.81000042,46.04999924,North Carolina,Hertford,24287
